"","Kreiskennziffer","Name des Kreises","Jahr","Bevoelkerung","GISD_Score","TS_Bildung","TS_Einkommen","TS_Arbeitswelt","GISD_Score_2","GISD_5","GISD_10","GISD_k"
"3688",8417,"Zollernalbkreis",2013,186360,0.469208942547435,0.622001091111104,0.396670753881786,0.409447638254794,0.442919,1,1,1
"3689",8417,"Zollernalbkreis",2014,186360,0.452035157481385,0.610688583543564,0.388101614494299,0.389482351549292,0.42456,1,1,1
"3690",8421,"Ulm",1998,120714,0.629709390106371,0.632770683671174,0.63100548500912,0.536739420712266,0.614501,3,5,2
"3691",8421,"Ulm",1999,120714,0.630247053236606,0.643626935609053,0.614544680997377,0.543591468722513,0.615075,3,5,2
"3692",8421,"Ulm",2000,120714,0.597267199510184,0.597554144408843,0.603016819467142,0.524671655025986,0.579819,2,4,2
"3693",8421,"Ulm",2001,120714,0.58166561302364,0.642578260716306,0.545565342770254,0.500899925969647,0.56314,2,3,2
"3694",8421,"Ulm",2002,120714,0.55702912471324,0.577453603107542,0.54210346700071,0.512324423631463,0.536803,2,3,2
"3695",8421,"Ulm",2003,120714,0.532996382263738,0.523704673682517,0.53371734831054,0.518698258340128,0.511111,1,2,1
"3696",8421,"Ulm",2004,120714,0.535835664180553,0.528798790408419,0.525743902176704,0.528165342150935,0.514146,1,2,1
"3697",8421,"Ulm",2005,120714,0.515193721787652,0.467403876669839,0.526510243457044,0.540900098191247,0.492079,1,2,1
"3698",8421,"Ulm",2006,120714,0.507510446159777,0.485782090419408,0.509072397072992,0.522132852647038,0.483865,1,2,1
"3699",8421,"Ulm",2007,120714,0.466740938581592,0.445301159005374,0.486311039902639,0.490780975903723,0.440281,1,1,1
"3700",8421,"Ulm",2008,120714,0.421418607592025,0.419974057750619,0.446535099466212,0.450726307204557,0.39183,1,1,1
"3701",8421,"Ulm",2009,120714,0.416442612952041,0.383202499763897,0.461517355761592,0.460970214124041,0.38651,1,1,1
"3702",8421,"Ulm",2010,120714,0.384692277252871,0.336943954429223,0.459605635541971,0.435472763712484,0.352568,1,1,1
"3703",8421,"Ulm",2011,120714,0.349048001864443,0.353325503853827,0.404995900423857,0.390998442572597,0.314463,1,1,1
"3704",8421,"Ulm",2012,120714,0.311430560226955,0.306234794843354,0.375978197151985,0.379826171205827,0.274248,1,1,1
"3705",8421,"Ulm",2013,120714,0.304080961516341,0.302208700076392,0.364100593096412,0.378677195202924,0.266391,1,1,1
"3706",8421,"Ulm",2014,120714,0.285056457033403,0.297294185050207,0.356395245313093,0.347156050940281,0.246053,1,1,1
