"","X","Gemeindekennziffer","GISD_Score","GISD_5","GISD_10","GISD_k","Name.der.Gemeinde","Jahr","Kreis","digits","Lebenserwartung_Frauen_2016","Lebenserwartung_MÃ¤nner_2016"
"132",58363,6532001,0.559397117454954,3,5,2,"Aßlar, Stadt",2016,6532,0,82.8133333333333,78.4966666666667
"133",58869,6533001,0.513624609805598,2,4,2,"Beselich",2016,6533,0,82.6666666666667,78.22
"134",59287,6534001,0.440376234971721,1,2,1,"Amöneburg, Stadt",2016,6534,0,83.4633333333333,78.5266666666667
"135",59771,6535001,0.613133196657979,4,7,2,"Alsfeld, Stadt",2016,6535,0,83.58,77.7066666666667
"136",60189,6611000,0.616275356197266,4,7,2,"Kassel, documenta-Stadt",2016,6611,0,82.93,77.5866666666667
"137",60211,6631001,0.493133608744475,2,3,2,"Bad Salzschlirf",2016,6631,0,83.8933333333333,79.5166666666667
"138",60717,6632001,0.489641175682776,2,3,2,"Alheim",2016,6632,0,83.0266666666667,78.22
"139",61157,6633001,0.393995899739355,1,2,1,"Ahnatal",2016,6633,0,83.3033333333333,78.9066666666667
"140",61795,6634001,0.585142221352262,3,6,2,"Borken (Hessen), Stadt",2016,6634,0,82.4966666666667,78.1233333333333
"141",62389,6635001,0.522948066799221,2,4,2,"Allendorf (Eder)",2016,6635,0,82.8366666666667,78.0633333333333
"142",62873,6636001,0.638600142169842,4,8,2,"Bad Sooden-Allendorf, Stadt",2016,6636,0,82.4166666666667,77.4233333333333
"143",63225,7111000,0.551330524277046,3,5,2,"Koblenz, Stadt",2016,7111,0,83.5133333333333,78.2766666666667
"144",63247,7131001,0.514644523885564,2,4,2,"Adenau, Stadt",2016,7131,0,83.2966666666667,79.0166666666667
"145",64831,7131501,0.514644523885564,2,4,2,"Dümpelfeld",2016,7132,0,82.3233333333333,78.05
"146",67471,7132501,0.701463937280435,5,9,3,"Altenkirchen (Westerwald), Stadt",2016,7133,0,82.7333333333333,78.24
"147",70067,7133501,0.62255967527584,4,7,2,"Bad Sobernheim, Stadt",2016,7134,0,81.5733333333333,77.15
"148",72179,7134502,0.659719575138822,4,8,2,"Langweiler",2016,7135,0,82.47,78.0833333333333
"149",74115,7135501,0.616872881617852,4,7,2,"Bad Bertrich",2016,7136,0,NA,NA
