"year","PLZ2","gisd_score","population","gisd_5","gisd_10","gisd_k"
2004,98,0.77401,242064,5,9,3
2004,99,0.79695,831397,5,10,3
2005,1,0.60084,1242943,4,8,2
2005,2,0.82701,427271,5,10,3
2005,3,0.79598,294995,5,10,3
2005,4,0.78917,1227112,5,10,3
2005,6,0.92183,1276724,5,10,3
2005,7,0.67992,562704,4,8,2
2005,8,0.7413,577243,5,9,3
2005,9,0.71885,788063,5,9,3
2005,10,0.75091,414467,5,9,3
2005,12,0.74915,1377942,5,9,3
2005,13,0.75083,1173394,5,9,3
2005,14,0.71888,1264837,5,9,3
2005,15,0.76239,627638,5,9,3
2005,16,0.83135,598413,5,10,3
2005,17,1,582175,5,10,3
2005,18,0.90743,603349,5,10,3
2005,19,0.89095,401381,5,10,3
2005,20,0.31224,123873,2,3,2
2005,21,0.36245,1597996,2,4,2
2005,22,0.2954,1103442,1,2,1
2005,23,0.63574,733238,4,8,2
2005,24,0.58519,1095349,4,8,2
2005,25,0.50655,694669,3,6,2
2005,26,0.68758,1174940,4,8,2
2005,27,0.63468,860088,4,8,2
2005,28,0.47093,738878,3,6,2
2005,29,0.69879,491951,5,9,3
2005,30,0.46724,912461,3,6,2
2005,31,0.53858,987374,4,7,2
2005,32,0.46393,885607,3,5,2
2005,33,0.43762,1082569,3,5,2
2005,34,0.48737,800276,3,6,2
2005,35,0.4102,912547,3,5,2
2005,36,0.42242,518781,3,5,2
2005,37,0.58261,729093,4,7,2
2005,38,0.53271,1141995,4,7,2
2005,39,0.91417,783323,5,10,3
2005,40,0.25089,991992,1,2,1
2005,41,0.46472,952282,3,5,2
2005,42,0.51179,878888,3,6,2
2005,44,0.58814,1267494,4,8,2
2005,45,0.56131,1559154,4,7,2
2005,46,0.55102,894580,4,7,2
2005,47,0.61837,1313713,4,8,2
2005,48,0.36827,1189935,2,4,2
2005,49,0.53571,1228129,4,7,2
2005,50,0.392,1084177,2,4,2
2005,51,0.37618,1079789,2,4,2
2005,52,0.58871,941131,4,8,2
2005,53,0.34509,1265468,2,4,2
2005,54,0.52044,516542,4,7,2
