Kennziffer;Raumeinheit;Aggregat;Lebenserwartung Frauen;Lebenserwartung Frauen;Lebenserwartung Männer;Lebenserwartung Männer
"09184";"München";"Landkreis";"84,51";"84,66";"81,46";"81,65"
"09185";"Neuburg-Schrobenhausen";"Landkreis";"84,24";"83,54";"79,15";"79,69"
"09186";"Pfaffenhofen a.d.Ilm";"Landkreis";"83,48";"83,59";"79,51";"80,43"
"09187";"Rosenheim";"Landkreis";"83,74";"83,71";"79,44";"79,66"
"09188";"Starnberg";"Landkreis";"84,78";"85,60";"82,14";"81,79"
"09189";"Traunstein";"Landkreis";"84,20";"83,86";"80,01";"79,71"
"09190";"Weilheim-Schongau";"Landkreis";"83,98";"83,88";"80,18";"80,27"
"09261";"Landshut, Stadt";"krsfr. Stadt";"83,39";"82,58";"78,40";"78,33"
"09262";"Passau, Stadt";"krsfr. Stadt";"82,87";"82,71";"78,09";"77,85"
"09263";"Straubing, Stadt";"krsfr. Stadt";"81,65";"83,44";"76,09";"76,37"
"09271";"Deggendorf";"Landkreis";"82,35";"83,02";"77,81";"76,96"
"09272";"Freyung-Grafenau";"Landkreis";"83,65";"81,90";"78,15";"77,88"
"09273";"Kelheim";"Landkreis";"83,29";"83,59";"78,93";"78,70"
"09274";"Landshut";"Landkreis";"83,54";"83,30";"79,59";"79,38"
"09275";"Passau";"Landkreis";"83,16";"83,64";"78,10";"78,25"
"09276";"Regen";"Landkreis";"82,98";"82,89";"77,28";"76,83"
"09277";"Rottal-Inn";"Landkreis";"83,03";"82,60";"78,29";"78,80"
"09278";"Straubing-Bogen";"Landkreis";"83,61";"83,48";"79,18";"79,89"
"09279";"Dingolfing-Landau";"Landkreis";"83,17";"83,32";"78,72";"78,49"
"09361";"Amberg, Stadt";"krsfr. Stadt";"82,87";"83,10";"77,33";"76,41"
"09362";"Regensburg, Stadt";"krsfr. Stadt";"83,35";"82,93";"78,75";"79,43"
"09363";"Weiden i.d.OPf., Stadt";"krsfr. Stadt";"82,36";"83,11";"77,14";"78,43"
