Kennziffer;Raumeinheit;Aggregat;Lebenserwartung;Lebenserwartung;Lebenserwartung
"09184";"München";"Landkreis";"83,02";"83,02";"83,00"
"09185";"Neuburg-Schrobenhausen";"Landkreis";"81,65";"81,49";"81,42"
"09186";"Pfaffenhofen a.d.Ilm";"Landkreis";"81,49";"81,79";"81,71"
"09187";"Rosenheim";"Landkreis";"81,61";"81,58";"81,53"
"09188";"Starnberg";"Landkreis";"83,53";"83,50";"83,60"
"09189";"Traunstein";"Landkreis";"82,12";"82,19";"81,62"
"09190";"Weilheim-Schongau";"Landkreis";"82,10";"81,98";"81,89"
"09261";"Landshut, Stadt";"krsfr. Stadt";"81,02";"80,78";"80,38"
"09262";"Passau, Stadt";"krsfr. Stadt";"80,58";"80,16";"80,28"
"09263";"Straubing, Stadt";"krsfr. Stadt";"78,88";"79,49";"79,68"
"09271";"Deggendorf";"Landkreis";"80,09";"79,85";"79,76"
"09272";"Freyung-Grafenau";"Landkreis";"80,85";"80,35";"79,75"
"09273";"Kelheim";"Landkreis";"81,14";"81,09";"80,94"
"09274";"Landshut";"Landkreis";"81,58";"81,43";"81,10"
"09275";"Passau";"Landkreis";"80,64";"80,65";"80,75"
"09276";"Regen";"Landkreis";"80,11";"79,85";"79,56"
"09277";"Rottal-Inn";"Landkreis";"80,63";"80,49";"80,54"
"09278";"Straubing-Bogen";"Landkreis";"81,41";"81,58";"81,50"
"09279";"Dingolfing-Landau";"Landkreis";"80,85";"80,64";"80,58"
"09361";"Amberg, Stadt";"krsfr. Stadt";"80,11";"79,83";"79,63"
"09362";"Regensburg, Stadt";"krsfr. Stadt";"81,15";"81,17";"81,23"
"09363";"Weiden i.d.OPf., Stadt";"krsfr. Stadt";"79,81";"79,92";"80,72"
"09371";"Amberg-Sulzbach";"Landkreis";"80,73";"80,89";"80,15"
"09372";"Cham";"Landkreis";"80,48";"80,46";"80,20"
"09373";"Neumarkt i.d.OPf.";"Landkreis";"80,83";"80,75";"80,84"
"09374";"Neustadt a.d.Waldnaab";"Landkreis";"80,20";"80,16";"80,15"
"09375";"Regensburg";"Landkreis";"81,61";"81,88";"81,54"
"09376";"Schwandorf";"Landkreis";"80,28";"80,15";"80,44"
"09377";"Tirschenreuth";"Landkreis";"79,86";"79,94";"80,09"
"09461";"Bamberg, Stadt";"krsfr. Stadt";"80,58";"80,38";"80,23"
"09462";"Bayreuth, Stadt";"krsfr. Stadt";"80,98";"80,63";"80,26"
"09463";"Coburg, Stadt";"krsfr. Stadt";"80,34";"80,66";"80,37"
"09464";"Hof, Stadt";"krsfr. Stadt";"79,54";"79,63";"79,47"
"09471";"Bamberg";"Landkreis";"80,31";"80,21";"80,13"
"09472";"Bayreuth";"Landkreis";"80,88";"80,69";"80,47"
"09473";"Coburg";"Landkreis";"81,32";"80,90";"80,01"
"09474";"Forchheim";"Landkreis";"80,76";"81,27";"81,52"
"09475";"Hof";"Landkreis";"80,38";"80,48";"79,98"
"09476";"Kronach";"Landkreis";"80,55";"80,19";"79,74"
"09477";"Kulmbach";"Landkreis";"80,62";"80,54";"79,84"
"09478";"Lichtenfels";"Landkreis";"79,69";"80,03";"79,82"
"09479";"Wunsiedel i.Fichtelgebirge";"Landkreis";"79,60";"79,62";"78,93"
"09561";"Ansbach, Stadt";"krsfr. Stadt";"80,14";"80,27";"80,42"
"09562";"Erlangen, Stadt";"krsfr. Stadt";"82,15";"81,81";"80,80"
"09563";"Fürth, Stadt";"krsfr. Stadt";"79,89";"80,12";"80,43"
"09564";"Nürnberg, Stadt";"krsfr. Stadt";"80,52";"80,35";"80,16"
"09565";"Schwabach, Stadt";"krsfr. Stadt";"81,42";"80,87";"80,49"
"09571";"Ansbach";"Landkreis";"80,95";"81,01";"80,84"
"09572";"Erlangen-Höchstadt";"Landkreis";"81,97";"82,02";"81,81"
"09573";"Fürth";"Landkreis";"81,34";"81,30";"81,53"
"09574";"Nürnberger Land";"Landkreis";"80,91";"80,97";"81,07"
"09575";"Neustadt a.d.Aisch-Bad Windsheim";"Landkreis";"81,30";"81,33";"80,45"
"09576";"Roth";"Landkreis";"81,27";"81,23";"81,19"
"09577";"Weißenburg-Gunzenhausen";"Landkreis";"80,81";"80,77";"80,44"
"09661";"Aschaffenburg, Stadt";"krsfr. Stadt";"80,36";"80,41";"80,75"
"09662";"Schweinfurt, Stadt";"krsfr. Stadt";"80,30";"79,94";"79,42"
"09663";"Würzburg, Stadt";"krsfr. Stadt";"81,41";"81,69";"81,43"
"09671";"Aschaffenburg";"Landkreis";"81,85";"82,04";"82,17"
"09672";"Bad Kissingen";"Landkreis";"81,41";"81,22";"80,80"
"09673";"Rhön-Grabfeld";"Landkreis";"81,13";"80,88";"80,84"
"09674";"Haßberge";"Landkreis";"80,52";"80,82";"80,90"
"09675";"Kitzingen";"Landkreis";"81,29";"81,28";"80,90"
"09676";"Miltenberg";"Landkreis";"81,64";"81,45";"81,17"
"09677";"Main-Spessart";"Landkreis";"81,61";"81,54";"80,95"
"09678";"Schweinfurt";"Landkreis";"82,04";"82,01";"81,58"
"09679";"Würzburg";"Landkreis";"82,60";"82,78";"82,91"
"09761";"Augsburg, Stadt";"krsfr. Stadt";"80,74";"80,86";"80,90"
"09762";"Kaufbeuren, Stadt";"krsfr. Stadt";"81,15";"81,40";"81,72"
"09763";"Kempten (Allgäu), Stadt";"krsfr. Stadt";"81,00";"81,20";"81,60"
"09764";"Memmingen, Stadt";"krsfr. Stadt";"81,63";"81,45";"80,90"
"09771";"Aichach-Friedberg";"Landkreis";"82,17";"82,13";"82,08"
"09772";"Augsburg";"Landkreis";"81,83";"81,69";"81,62"
"09773";"Dillingen a.d.Donau";"Landkreis";"81,14";"81,37";"81,55"
"09774";"Günzburg";"Landkreis";"80,95";"81,19";"81,36"
"09775";"Neu-Ulm";"Landkreis";"81,81";"82,15";"82,32"
"09776";"Lindau (Bodensee)";"Landkreis";"81,76";"81,64";"81,25"
"09777";"Ostallgäu";"Landkreis";"81,87";"82,12";"82,39"
"09778";"Unterallgäu";"Landkreis";"82,11";"81,92";"81,26"
"09779";"Donau-Ries";"Landkreis";"81,56";"81,79";"81,87"
"09780";"Oberallgäu";"Landkreis";"82,55";"82,57";"82,45"
"10041";"Regionalverband Saarbrücken";"Landkreis";"79,45";"79,34";"79,31"
"10042";"Merzig-Wadern";"Landkreis";"80,00";"79,56";"79,39"
"10043";"Neunkirchen";"Landkreis";"79,71";"79,32";"78,85"
"10044";"Saarlouis";"Landkreis";"79,98";"79,94";"79,96"
"10045";"Saarpfalz-Kreis";"Landkreis";"80,77";"80,85";"80,74"
"10046";"St. Wendel";"Landkreis";"80,82";"80,79";"80,69"
"11000";"Berlin, Stadt";"krsfr. Stadt";"80,70";"80,74";"80,80"
"12051";"Brandenburg an der Havel, Stadt";"krsfr. Stadt";"79,96";"80,04";"80,15"
"12052";"Cottbus, Stadt";"krsfr. Stadt";"79,93";"80,14";"79,47"
"12053";"Frankfurt (Oder), Stadt";"krsfr. Stadt";"79,61";"80,03";"80,09"
"12054";"Potsdam, Stadt";"krsfr. Stadt";"81,88";"81,79";"81,86"
"12060";"Barnim";"Landkreis";"80,17";"80,33";"80,34"
"12061";"Dahme-Spreewald";"Landkreis";"81,21";"81,33";"81,18"
"12062";"Elbe-Elster";"Landkreis";"79,93";"79,69";"79,52"
"12063";"Havelland";"Landkreis";"80,23";"80,22";"80,51"
"12064";"Märkisch-Oderland";"Landkreis";"80,81";"80,75";"80,71"
"12065";"Oberhavel";"Landkreis";"80,37";"80,37";"80,58"
"12066";"Oberspreewald-Lausitz";"Landkreis";"78,96";"79,37";"80,06"
"12067";"Oder-Spree";"Landkreis";"80,50";"80,47";"80,63"
"12068";"Ostprignitz-Ruppin";"Landkreis";"79,89";"79,94";"80,46"
"12069";"Potsdam-Mittelmark";"Landkreis";"81,45";"81,70";"81,53"
"12070";"Prignitz";"Landkreis";"79,71";"79,52";"79,51"
"12071";"Spree-Neiße";"Landkreis";"79,95";"79,91";"79,70"
"12072";"Teltow-Fläming";"Landkreis";"80,66";"80,46";"80,16"
"12073";"Uckermark";"Landkreis";"79,76";"79,83";"79,26"
"13003";"Rostock, Stadt";"krsfr. Stadt";"80,79";"80,89";"80,92"
"13004";"Schwerin, Stadt";"krsfr. Stadt";"79,88";"79,97";"80,23"
"13071";"Mecklenburgische Seenplatte";"Landkreis";"80,02";"80,10";"79,75"
"13072";"Landkreis Rostock";"Landkreis";"80,29";"80,28";"79,82"
