"","Raumordnungsregion Nr","Raumordnungsregion","Jahr","Bevoelkerung","GISD_Score","TS_Bildung","TS_Einkommen","TS_Arbeitswelt","GISD_Score_2","GISD_5","GISD_10","GISD_k"
"1374",1301,"Mecklenburgische Seenplatte",2011,261733,0.780032649099435,0.808294072720716,0.695415142132581,0.645589179593244,0.75869,5,9,3
"1375",1301,"Mecklenburgische Seenplatte",2012,261733,0.757298309648041,0.781577813721082,0.696236745857438,0.618735200105702,0.72996,4,8,2
"1376",1301,"Mecklenburgische Seenplatte",2013,261733,0.711738924647183,0.708812989164201,0.680903075799879,0.601125967229571,0.672386,4,7,2
"1377",1301,"Mecklenburgische Seenplatte",2014,261733,0.715858588710513,0.682045813648151,0.668067614221808,0.650287125057696,0.677592,4,7,2
"1378",1302,"Mittleres Mecklenburg/Rostock",1998,416045,0.87735287885251,0.729910403818441,0.877039377792838,0.768152809399027,0.881675,5,10,3
"1379",1302,"Mittleres Mecklenburg/Rostock",1999,416045,0.863033155691558,0.732849320334718,0.862582516148393,0.746445868071641,0.863579,5,10,3
"1380",1302,"Mittleres Mecklenburg/Rostock",2000,416045,0.852519996139862,0.742804856427496,0.847629495212974,0.727050525729835,0.850294,5,10,3
"1381",1302,"Mittleres Mecklenburg/Rostock",2001,416045,0.863071711014512,0.799295195433985,0.835098437344373,0.707573528549614,0.863628,5,10,3
"1382",1302,"Mittleres Mecklenburg/Rostock",2002,416045,0.836160930780193,0.724774403367491,0.834382987667118,0.720370880402412,0.82962,5,10,3
"1383",1302,"Mittleres Mecklenburg/Rostock",2003,416045,0.834542323757494,0.706538371858425,0.827116322608531,0.742118055027296,0.827575,5,10,3
"1384",1302,"Mittleres Mecklenburg/Rostock",2004,416045,0.823507266014941,0.684659679987743,0.818353676483385,0.747155648006141,0.81363,5,9,3
"1385",1302,"Mittleres Mecklenburg/Rostock",2005,416045,0.833678449457593,0.696310769275432,0.828895625485059,0.748561977609741,0.826483,5,10,3
"1386",1302,"Mittleres Mecklenburg/Rostock",2006,416045,0.819348179812868,0.700740606312885,0.815737313557131,0.724041095898004,0.808374,5,9,3
